issue_date;license_plate_number;violation_code;unit_description;fine_level1_amount;community_area_name
2005-03-10 16:34:00;2579765f3b70720d7c94c69bddbcbf20ccb99720aff1b5466efe555828863682;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:34:00;394ddce57e96004ed4df1c4ec2ea7cb9da4b4b995d10aa215397ca8fa8d2f311;0964080A;CPD;50;WEST TOWN
2005-03-10 16:36:00;088bc4dc7c75f681283025cb22b5db9e7484f9bd5a710a034cc1cc0b9f6bec08;0964080A;CPD;50;WEST TOWN
2005-03-10 16:36:00;f399fa133d7fe5fe789d6eb26302ecc882e3dc74a0e4d1c78e570423f4c11a34;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:36:00;1355664ee270ff22f489163db39e75f29aecdb76005eb61d1fbcef48cbff658e;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:36:00;ddb35cf18544a620ca0765eb57bc4809f75cb8eb3ace57bb3782ba98a3cdbd06;0964080A;CPD;50;WEST TOWN
2005-03-10 16:37:00;3da43f2e873f07bda19755e2563286173dffa9ad9d54490540654b34255a2225;0964190B;CPD;50;LOOP
2005-03-10 16:37:00;3b52e08f32211d8f1de1c752d959d7dcd72787dbb6c12252b0f081622af35bae;0964080A;CPD;50;WEST TOWN
2005-03-10 16:38:00;ff707d744ab3ed5ae714d7a72b3f4aa6fe2897824b0141cc1bf9f57303576829;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:38:00;d02b0691a4ea4d3e4bc296c37757a9adf4d29dfbcbd3d0ddec957a54d6b3e477;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:39:00;fb78ee22f8ff80604641a57cc0f21b6e0a8c0621dd1dc540180d66370d48ac22;0976160A;CPD;50;LOOP
2005-03-10 16:39:00;64f40d2a0509622644aecdb194bbdc0e03386d22870f6f57645b90fbb61ac53c;0964080A;CPD;50;WEST GARFIELD PARK
2005-03-10 16:40:00;ae3feee32d184f94a79758fd3948736bc072452f357a511f24ac981f139de8bc;0964080A;DOF;50;WEST TOWN
2005-03-10 16:40:00;9d9be45eb65693f850abeffe6e621296bc2284a46089f4da4472bdfd6628618e;0964080A;CPD;50;NEAR NORTH SIDE
2005-03-10 16:40:00;5f7acebcd95affb575497edd5dcf5e1a9f71a504bee275e1769025d28099561d;0976160A;CPD;50;LINCOLN PARK
2005-03-10 16:40:00;f5a6fea82892a47692a62d4996bde2c52c6330cd06c6ce2a39696da1737f3bef;0964150B;Miscellaneous;50;NEAR WEST SIDE
2005-03-10 16:41:00;4590f99fc22ded567524042b6c1ec4d6e181f2a00737c4cf25ed33f1537d8bca;0964150B;CPD;50;LOOP
2005-03-10 16:41:00;eea07cc2dde5eeed8430a9e48ba08d4ca338176670545f1f77b1cdd4b737768f;0964080A;DOF;50;WEST TOWN
2005-03-10 16:42:00;4590f99fc22ded567524042b6c1ec4d6e181f2a00737c4cf25ed33f1537d8bca;0976160F;CPD;50;LOOP
2005-03-10 16:45:00;7741cb2f4228ca204c6280b92e6a4bfadad6df5d959d07fa1f720c648bf69224;0964080A;CPD;50;AUSTIN
2005-03-10 16:45:00;050a433ee96bdde0d500efcf963d22151d7140d993d29e8f9848352aba23fb71;0964110A;CPD;100;LOOP
2005-03-10 16:45:00;2f591906168fa4957a29befb0c359d54ced272b586a2ad82744f18e3b6b073b3;0976160A;CPD;50;LINCOLN PARK
2003-08-08 00:14:00;98b9de877bb8fed647e633fe8468bfe94578dedb51c20042f2f369c0ed947af8;0964080B;CPD;50;LINCOLN PARK
2003-08-08 00:15:00;98b9de877bb8fed647e633fe8468bfe94578dedb51c20042f2f369c0ed947af8;0976160F;CPD;25;LINCOLN PARK
2003-08-08 00:18:00;dbcb6db6ad0a2b894a8823fd627deb0f249dd7339390adc792c37337eae4e5b8;0964080B;CPD;50;NEAR NORTH SIDE
2002-07-17 09:24:00;1c634e22ee11dabb880957cba6f4775e401382d5e6328c18d1b9b11df4b74401;0964190A;DOF;30;LINCOLN PARK
2003-08-08 00:20:00;9b4c25df2660ac53e373efbc92d4362065837270b4a40162b6b661ea9466c48d;0964080B;CPD;50;NEAR NORTH SIDE
2003-08-08 00:21:00;45d246c3a27733742a29a990225c4a343cec5d582be8d5ba05265b80ee947687;0964080B;CPD;50;LINCOLN PARK
2001-07-16 14:16:00;aca56389978493d03025a80fb9414b558b1d0d3b05bb3b2af4e62ad5ad0e51c6;0964125;CPD;60;ENGLEWOOD
2004-03-25 09:11:00;fce721d5d5353dfcaf6941bda74b5787fed5179533a6afd236a2e3862cbbb263;0964190A;DOF;30;NEAR NORTH SIDE
2004-03-25 09:12:00;514147fb51f68cdfa11fca4d67507036b8a693a589bc8e6829cc4fa2cc78c930;0976160F;DOF;50;NEAR NORTH SIDE
2004-03-25 09:13:00;019e0d3f918b05045bf4b5f2d507ad3b5efe60c5f6a5ca195221a6dc3796dfb1;0964190A;DOF;30;NEAR NORTH SIDE
2004-03-25 09:13:00;f1c2a8da0b1158bf8e6a0eea6e5a111eb55d67a43365b124b78ef81dd35c9b22;0964150B;DOF;50;NEAR NORTH SIDE
2003-08-08 00:25:00;61b769e1bcf7ca5f9eb64c3f2148f5a6ef0ada95857f060ce628d2b47a9a653e;0976160A;CPD;25;LAKE VIEW
2002-07-17 09:25:00;d4281dba7d85dd5dc4b6f129394dd843fed212afdafaf0ce3c9c16f12db4b88c;0964190A;DOF;30;LINCOLN PARK
2001-07-16 14:18:00;4542bb72ff61a82d9e0065937059621e94a0fb1f56339565ea9b3cec52d96956;0964190B;DOF;50;NEAR NORTH SIDE
2001-07-16 14:20:00;6b408c9937bf10408f139e40cc177ea871eac9f708c0b9e4ec0ea8c8e1722114;0964080B;CPD;50;LOOP
2001-07-16 14:20:00;1a0ba6fed10835f226cc2e194f87c8d2f947fc7fff11bf1f9882d09d7e677a34;0964125;DOF;60;NEAR NORTH SIDE
2004-03-25 09:14:00;9c9eb996f250db3a8add75ad95bbc5c66e95626ae987f2d06f3e573bdf428b4d;0964090E;DOF;50;NEAR WEST SIDE
2001-07-16 14:20:00;be5c1bd60adfc96cb84cbacd5a47a12b7ba563a98d6c4949219354b496094744;0964125;DOF;60;LAKE VIEW
2001-07-16 14:21:00;45286b72ec0769fdc3d03ef00e03e662ad402d4b1b2ec25ee84f359fdabf66e3;0964125;DOF;60;NEAR NORTH SIDE
2001-07-16 14:21:00;c90e57f63bd7ac8fe420316aec016ffe244215fbe197fcbf3767f788ee03b383;0964125;DOF;60;WEST TOWN
2001-07-16 14:23:00;3b0364bfb00dc06e9de62695fd6616273986cb2958429d0de9d1e45399deca0f;0964125;DOF;60;NEAR NORTH SIDE
2001-07-16 14:23:00;64f614387715c5c3f9a726ee85641eee21698093d8d82f5c3cf1394c380b5334;0964190A;DOF;30;WEST TOWN
2005-03-10 16:51:00;9d13a31adb3531f053777c05cc60d8c049f03f65fc8d372e6967404b67d348a0;0964080A;CPD;50;WEST TOWN
2005-03-10 16:52:00;731489dfe293a634fa56e00689f46e8b248e35cc0fbb716299704d0453026a85;0964080A;CPD;50;WEST TOWN
2005-03-10 16:52:00;8c6bb76dd7fe79bb4fc3f26ecd6cf9119d212a0a9e43c49ed1e3ec97ce800913;0964080A;CPD;50;LOOP
2005-03-10 16:52:00;9e49a0475f6c005ad53d9de74deb3e8bc9f95ba40c5f179c678ba106d5b340d1;0964080A;CPD;50;LOOP
2005-03-10 16:52:00;a57e7c79b47866e3c4561a98310330077ef9938a9a8b20590379459d60c13d54;0964190B;DOF;50;NEAR NORTH SIDE
2005-03-10 16:53:00;c2d24f6e1183ce04f3efad70881b9470b86d99539ddbab38a0e8b51acb135627;0964080A;CPD;50;LOGAN SQUARE
2004-03-25 09:15:00;b77df741e42dc39e495a5346378ddffd9a4ff579d2a543020715fd9bc14d62cc;0964080B;DOF;50;NEAR NORTH SIDE
2004-03-25 09:16:00;4d4b98ed8604b0c78809eee9eeb441d4484f7918fd63265d52860130bd2eb0b3;0976160F;DOF;50;NEAR NORTH SIDE
2001-07-16 14:25:00;d68404e731860356882a7ab753e55fb949c7c99eabd43cfaee6f6ec342f35c9d;0964125;DOF;60;NEAR NORTH SIDE
2001-07-16 14:29:00;bb00d883a42871843ef755a8a38912b8b14330d821ee327ddee7ec6779af9c55;0964150B;CPD;50;OHARE
2001-07-16 14:26:00;601e5790843a1743f0111ba5e235c1bb52cd4ab690c045f476a90fc70d235e59;0964190A;DOF;30;WEST TOWN
2001-07-16 14:26:00;1dd5b302284c73e027e6564a9fcc10ea29e27a7c26949e27d5d73758e36a5135;0964190A;DOF;30;HYDE PARK
2001-07-16 14:28:00;a2cf9a1c69dabc161018e07a857c7b413a274d9000a5e8ea086b59196d30d4a9;0964190A;DOF;30;WEST TOWN
2003-08-08 00:30:00;90e24a31a4fd70fd2ed34a2e3568486dcc61385adf4930626a0aa1b60bfb7c76;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:32:00;0cfab3ee2cc4c3bb1876b24d1448779a0ba56354b49c5183427e19bcda0513c6;0964150B;CPD;50;LINCOLN PARK
2002-07-17 09:26:00;d39c6edfded5d3e69a5426e1be65c21f81febb2433c12b6d3509aaaec47eb36d;0964125;DOF;60;NEAR NORTH SIDE
2002-07-17 09:26:00;a9755b8112eb4e2129be7c6354ad1997c18cf7b450e4886b3b033182e1705af7;0964190A;DOF;30;LINCOLN PARK
2002-07-17 09:26:00;41584f4665f1301a0cb5be04466ac1c2572c32b11e19185e808a2e95d5e18318;0964125;DOF;60;LINCOLN PARK
2001-07-16 14:29:00;a2cf9a1c69dabc161018e07a857c7b413a274d9000a5e8ea086b59196d30d4a9;0964125;DOF;60;WEST TOWN
2001-07-16 14:30:00;796cf1cb90fffde55b500b52745dc19e044ebfa2079beec611d34d2a2f8c566b;0964150B;Miscellaneous;50;LOOP
2001-07-16 14:30:00;6a95f43305396002ba3793faf21fd6fac12edc4c630605c76456618392afe72a;0964150B;CPD;50;LOOP
2001-07-16 14:30:00;f6bc30566a1ef07a971c72765eaf1fe0efaf10f5391d7868e5af33e0e1faf40a;0964190A;DOF;30;LAKE VIEW
2001-07-16 14:30:00;551d0b58119d70b29d226fbee513742087cdf4e36c17b6f1e82b199bf5a2b43f;0964190B;DOF;50;NEAR NORTH SIDE
2005-03-10 16:54:00;18a98d65bbe2cfcc6e201a8b7e7efac978cd0e6aec5fb286f433d17cb4848fa1;0964080A;CPD;50;WEST TOWN
2005-03-10 16:54:00;a3403c7194abf8e121f70ab6fa1b2a909e9bf025afe96aa78d7e41cee8026d54;0964080A;CPD;50;WEST TOWN
2005-03-10 16:55:00;f32dcafb1c2e630d0b02dba112dd832f0e96291d2ac30a09ed4adf8228f1949e;0976160A;DOF;50;NEAR WEST SIDE
2003-08-08 00:33:00;0b5c91bcac61dd6455a658fc6b7fd74b2b940017da6154b38634e796897596dc;0964080B;CPD;50;NEAR NORTH SIDE
2003-08-08 00:35:00;23fd3e6a1b913e8411535a08fdbceb6f5efe77f8242dcf8a7fc0f7b71cbd6e53;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:35:00;141eead83cce56eab8aed328f017e8fe40b8241d038d03ec2151625c5f8de7eb;0964150B;CPD;50;LINCOLN PARK
2003-08-08 00:35:00;25297f62098f4ad58f5dbd79ce1d58e20fc23d0d54bdb0346c7a61351b7dd95e;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:35:00;5746c3102234c79e1413e7fbee07652255e5de3f52ddc612eafb70cd31fd2df7;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:35:00;e01a706be202929f1e517ff7505a7668898c4c29fe63e45fe034b2ee1034e593;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:38:00;73943bbfba14a17c54325ea0e49be9588e87946c1dc9d50e6fd7a3c704b4680a;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:40:00;ea5f6f2e3f977e6ff238648fca31e648efc1a94092a256eb6d54fb2280ef6d70;0964090E;CPD;50;NEAR NORTH SIDE
2004-03-25 09:20:00;2f2efe9c95ee2e60e69575ac9b90b21998d9f35b76f3c9b5906ead744cac5ec1;0964190A;DOF;30;SOUTH LAWNDALE
2004-03-25 09:20:00;ceab97b16af78352a4f9a125c4bac980e356bb0428390a0aac6b9285864f007f;0976160A;CPD;50;LOOP
2002-07-17 09:27:00;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0964190B;CPD;50;LOOP
2001-07-16 14:31:00;1ce9c2f90c040f1fa35f69bdf81b8d29adb7115e713f580cb3fd421a25e63d8a;0964125;DOF;60;AVALON PARK
2001-07-16 14:32:00;db2cd365bb902fe96fe1f75b533735ede8da6efb3f46a0b28173802f83518d7c;0964125;DOF;60;WEST TOWN
2001-07-16 14:32:00;492d9e4666806a5e6a04caee54c8dbe94ed7f95eff2dbd3ef345ad75228b5d12;0964190A;DOF;30;HYDE PARK
2001-07-16 14:32:00;b581c9300f27625e9d4fcc0f194cc276a3f9419d87b0238a3b61cb0b824f3d53;0964190B;DOF;50;NEAR NORTH SIDE
2001-07-16 14:33:00;b581c9300f27625e9d4fcc0f194cc276a3f9419d87b0238a3b61cb0b824f3d53;0964125;DOF;60;NEAR NORTH SIDE
2001-07-16 14:33:00;44960bac1accaf1c0ccd9e4fe04312d2e195c04b54150eebaf20be4faad846a7;0964190A;DOF;30;LAKE VIEW
2005-03-10 16:57:00;83d4df7bf2c821f666f05dfbfa6efbcfcf7677d0bc1b11d37ef0c1d97cb6a83a;0976160F;CPD;50;SOUTH LAWNDALE
2005-03-10 16:57:00;54f71f9929be6cf5f63e106d53786990db42d0cd64a71ac6ca7c82eefd2111f7;0976160A;DOF;50;NEAR WEST SIDE
2005-03-10 17:00:00;3b82b8714d8746c3c1655c38498d9c5f83033ce2d9f5e9dbbb3bdab9c36c7bbc;0964150B;CPD;50;GARFIELD RIDGE
2003-08-08 00:42:00;36cdf16007162d4ecbe4adf9a6e6891fcad64a57888b2d14af8ce4f74cc46d59;0964090E;CPD;50;NEAR NORTH SIDE
2003-08-08 00:48:00;3b9ffc03db5a1f3e153993c3d1432861f069152620eadac8aaa21dcd76845ba6;0964125;CPD;60;LOOP
2004-03-25 09:21:00;cb6160dff5a03f06ff235488081e0b0f1ff19cd72bfac61a7a7ca75882fcec11;0964150B;CPD;50;LOOP
2004-03-25 09:21:00;fa1e110d464836298c95548024f87e44bfe36278035797316f9820c2d1fc3baf;0964190B;DOF;50;NEAR NORTH SIDE
2004-03-25 09:22:00;14cb8a8dfe888cad125f53cde216fdd08bb1fe12c7ae1be5bda3abb7fe24a9e3;0964150B;CPD;50;LOOP
2004-03-25 09:22:00;1da3fc01d73212ceceae498d5547bfed2dc7b5c548052c95280735c737604b5d;0964150B;CPD;50;LOOP
2001-07-16 14:33:00;cea5080eb9b290c725eae3f019f79838af4426507a73dc5212feceb9761a4c0d;0964125;DOF;60;WEST TOWN
2001-07-16 14:33:00;a81c746a47d067eb8bbc637221323b2a0d3fedc0604cff2ba89c310fa4c5c789;0964125;DOF;60;AVALON PARK
2001-07-16 14:34:00;db639912cc7049ff211e7fc1fbd75966c789256c00e6eb60dfbdf052dc20b6a5;0964190B;DOF;50;NEAR NORTH SIDE
2001-07-16 14:35:00;3d57c48b4101d8147b8ae2f0bb131148a217a03aeec0aa00b3f4bccbadf817bc;0964190A;DOF;30;LAKE VIEW
2003-08-08 00:51:00;2fb6bac7051378e19cbb8c2a15b8cd39d149d00b6d4d7f637d4fc685880a5813;0964125;CPD;60;LOOP
2001-07-16 14:36:00;f909b5f0637e90c99df3dbf18059c37d1cbf8a04d8e9cb6763cc3e6592d2c7a9;0964190B;DOF;50;NEAR NORTH SIDE
2001-07-16 14:37:00;f909b5f0637e90c99df3dbf18059c37d1cbf8a04d8e9cb6763cc3e6592d2c7a9;0964125;DOF;60;NEAR NORTH SIDE
2005-03-10 17:02:00;afea4da75ac9d923ccc9f11ef2d23866107ad13aba8299e0275501c1ef583dd7;0964190A;DOF;30;NEAR WEST SIDE
2005-03-10 17:03:00;d262e5052636dcfeb0f9785a25faf35ed9d2cb485822dc06a0f875044ff17ea9;0976160F;DOF;50;ARMOUR SQUARE
2005-03-10 17:04:00;d262e5052636dcfeb0f9785a25faf35ed9d2cb485822dc06a0f875044ff17ea9;0964190A;DOF;30;ARMOUR SQUARE
2004-03-25 09:24:00;636341cad1f6ea3b13364a8f5e247a4af2230cb5d43abdf7fe0bd57759ee2fe2;0964190B;DOF;50;NEAR NORTH SIDE
2002-07-17 09:29:00;9ad5a9da90dd737b8487c7e93783e73a1b1dbf1b20048b8c8df74d8c09bb4a46;0964190B;CPD;50;LOOP
2002-07-17 09:29:00;4c9a297c455fd77746bddf2756d330ad4ab988b4679b1aed315e07fcadc85751;0964190B;CPD;50;LOOP
2002-07-17 09:29:00;76eb0a1a893af791617364ca28774edd568b1877e6695284b914f15e22d67ad5;0964190B;DOF;50;NEAR NORTH SIDE
2005-03-10 17:05:00;d8b53d1d2346bd2111e53e64506ef4d2aa512180b87195aceed689b894a0da2f;0964190B;CPD;50;LOOP
2005-03-10 17:06:00;75a1bafd036c39be06f114223ddda9b76058866103093b73dfb371ead78749ab;0964050J;CPD;150;LOOP
2002-07-17 09:30:00;88ea779ecdc2ab38830b6d6a6e0f0ff3cf6a06a71392d813ded4719b78046ee1;0964080B;CPD;50;LOOP
2001-07-16 14:42:00;9b743d98152dabcd6393ca3c24b2a3aa81a720afd8dd6370eb98ca8588ac59dd;0964190A;DOF;30;HYDE PARK
2005-03-10 17:08:00;af82eeb1fa94ea1cb9ad276dd85f20e6ac5457a215a2cc1866f3d583f07c7ea3;0964190B;DOF;50;NEAR NORTH SIDE
2005-03-10 17:09:00;06fa92f40eb959d5e1b6998a9ab6a3696d62a547720bc69d5ee9b9ecf52559c4;0964190A;DOF;30;LINCOLN PARK
2005-03-10 17:10:00;a13014296428785157ba55f61820d185c03d3ce75dcbedff0242a5ff23c84222;0964080A;CPD;50;ROGERS PARK
2005-03-10 17:10:00;2fe853dd1bfba9c2b229871ff64e64ae710c540c192cd1e824be52b0795b1e3a;0964090E;CPD;50;WEST TOWN
2005-03-10 17:10:00;a795a1ff263a9f3294e6919defe2aa298c3fae950f37fbff28bf150e33ed1aa5;0964190B;DOF;50;NEAR NORTH SIDE
2005-03-10 17:10:00;53a1697ada9fac5c62b2068ab3390e832c87eef668d146db7ad19181775be0b8;0964050J;CPD;150;SOUTH LAWNDALE
2001-07-16 14:44:00;e6124989478e3aff19f7a76b379569f44b56d8680934b301a544e690e9bbb5e6;0964190A;DOF;30;WEST TOWN
2001-07-16 14:44:00;c5ae7603e228e318227acbccde42508ae657067599ce5b0422e50a4e84f04bca;0964190A;DOF;30;HYDE PARK
2001-07-16 14:45:00;c171b10f1c680bb973b1aad7fd9e19460c14e5c3be58c004f0a0dce13105ffe3;0964190B;CPD;50;LOOP
2003-08-08 00:58:00;3033cda0a13a66cb3b8f6970ba0ecbe94959cc2958a02398a9f771b685a7ddf9;0964110C;CPD;50;LOOP
2003-08-08 01:00:00;a31d97809787ec3b0433eec77908b364dd8fb406b15da49e297b55249e5be2f6;0964020B;CPD;25;FULLER PARK
2001-07-16 14:46:00;a3705f926c950965304d73b9c04bad120134fae983f964550b53d0d3bbca9bbd;0964190A;DOF;30;WEST TOWN
2001-07-16 14:46:00;4174d5279f050ef00ee128c294878256f3fe438e36dd4fc8a50b7ae9951d7ea5;0964150B;CPD;50;OHARE
2001-07-16 14:47:00;3bce6ad81a79a3fe4b9748ca44f211ff2a0c3f463e95dabc42acb6896bb09e05;0964125;DOF;60;WEST TOWN
2002-07-17 09:31:00;f2b3d034a0c95659e31369a4d62e878680125c13da33a45ab17f7904015b885f;0964190B;CPD;50;LOOP
2005-03-10 17:14:00;435e5d398bec399aa6fe156d8270b7556cd72f90516d3f099e1a4b27e0240f8f;0964050J;CPD;150;LOOP
2005-03-10 17:14:00;c35911171e896c2d0abda693ac406cb375549c4a1e2cb494abbd0436edc4d9c3;0964150B;CPD;50;LOOP
2001-07-16 14:49:00;287f428a218eabea18f4eb8f3faa875dd706eea6a64670fc08cb3e6fe99b59bb;0964150B;CPD;50;OHARE
2001-07-16 14:49:00;50dec6d2b7ccdbd87da2c4bf0e13a0d2a15911e8eafeb00fb1d29fd47454fe61;0964125;DOF;60;WEST TOWN
2001-07-16 14:50:00;210ae7c78f3700faa2d1adf73375aa02c3654e7c0175be316a1272adc1cac2fe;0964125;DOF;60;WEST TOWN
2004-03-25 09:31:00;a6d9d360df96945989c1c9a34b292dd4f80dd1af9cab7cfa274cd456e7a0aa1d;0980080A;DOF;100;NEAR NORTH SIDE
2004-03-25 09:32:00;9252dedb40d075742de41275c989e3d720ed76318931155885fb294cc027230e;0976160F;DOF;50;NEAR NORTH SIDE
2005-03-10 17:18:00;8f9014bf8dc66f2df7bb83dfe40516bf7dcc4f93320391b863affabf4ce46f38;0964190A;DOF;30;LAKE VIEW
2005-03-10 17:20:00;4d077220d2ff2a9c74bbbdfb703a98a0e851ac775922c86c48cf71ad80c8935c;0964080A;CPD;50;AUSTIN
2001-07-16 14:54:00;830dced2ca94205c7d99684f39a643e92449bb4bbbefc2cefe956240dbbef89e;0964190A;DOF;30;HYDE PARK
2004-03-25 09:34:00;e652463f9cc6cf858a39b2b9c2a4a7a6871f1c359fa2a263bd0b28c97907a4f0;0964190A;DOF;30;WEST TOWN
2002-07-17 09:31:00;9d6e1ab4725558e2fa061d3e7fa95d193006d5d9d966f29c803f4071d29dfd5d;0976160A;CPD;25;LOOP
2002-07-17 09:31:00;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0980110A;CPD;50;LOOP
2001-07-16 14:55:00;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0964080B;Miscellaneous;50;LOOP
2005-03-10 17:20:00;7a08d30c1c3eb6621f1dcbbca511964027798373f3d0bf533276d0ef52431581;0964190A;DOF;30;NEAR WEST SIDE
2005-03-10 17:20:00;ec0679102b1e93777933d9ffdee443ce86ecfb64ab4c4d54b239e090f4fc52c7;0964150B;CPD;50;GARFIELD RIDGE
2005-03-10 17:22:00;7a08d30c1c3eb6621f1dcbbca511964027798373f3d0bf533276d0ef52431581;0976160A;DOF;50;NEAR WEST SIDE
2003-08-08 01:20:00;6ed720c4e12332fad60dee22e7b810c43986a5596218c7dc8307ef43b5de943b;0964020B;CPD;25;NEAR NORTH SIDE
2003-08-08 01:20:00;6e4209a0d6986d5b634ea93fbac1e4d6cf9a5848c2277204921fd2864b990884;0964040B;CPD;50;LINCOLN PARK
2003-08-08 01:22:00;ec79bca4091e5a6a63973d6eeaca58411238b05dc3c55e8f96552e46a58792a6;0964190B;CPD;50;NEAR NORTH SIDE
2001-07-16 14:59:00;8c951821bd19ee8e8c45ee42865a50cd6dcf2549210da6efa8f449f2fd3c1750;0964150B;CPD;50;LOOP
2005-03-10 17:25:00;e0a2d7662508f1c400dfba4ad242603ea98a46ffef3d73bab300d421b97e578a;0964150B;CPD;50;WASHINGTON PARK
2005-03-10 17:25:00;d08c2b7742996187862d0af5ab4e298184447832d4226cef6a34dc4cefb0cbaa;0964150B;CPD;50;WASHINGTON PARK
2001-07-16 15:02:00;e26ab0f50e2822779fb18c3478bb433b095b6f54144b1c1267989a5b679ca040;0964125;DOF;60;AVALON PARK
2004-03-25 09:37:00;78b1808c121a65450290e3349958f019beaa4bfd4dd4ef5afc5c7ca6061c54b0;0964020B;CPD;75;NEAR WEST SIDE
2001-07-16 15:03:00;2968f3e934ebc49b2e40603f6e1bf0b8542e84dc662d97cfc84e23bc76492c57;0964125;DOF;60;AVALON PARK
2001-07-16 14:11:00;3daeb8fb8f529fb4dd458074ded093cd6875862e5a27cf889ff2ea82f36641d9;0964125;DOF;60;NEAR NORTH SIDE
2001-07-16 14:13:00;b25db6453d5beb0b626aa8f56bd55411b5a4f3a33ff2b8d835298ccdb7e83860;0964150B;Miscellaneous;50;OHARE
2004-03-25 09:37:00;eba17b679e7cb553302e68d9c3d2871155cc8b12b1df855117f307508553c125;0964100A;DOF;100;LAKE VIEW
2004-03-25 09:39:00;10f53b54ab0593066a77ae2f15dbb3c8eff25983ee025367f64e9e1e6c113ede;0964190B;DOF;50;LOOP
2004-03-25 09:40:00;23b5a6bc460427d6df5da6c77c3acc0abd04e95e92df6c91047193eae10a861e;0976160F;CPD;50;GARFIELD RIDGE
2004-03-25 09:40:00;be5f7fffe6fb0d7b6f028028568e8815cdb26de281f4c1c88c25467386865c67;0964170A;CPD;25;NORTH CENTER
2004-03-25 09:41:00;809cad78a28c4af00481e2bc7b96bd0c0cc92f051400d2d6922807dbcc095939;0964190B;DOF;50;NEAR NORTH SIDE
